technique_id,technique_name,mitigation_id,mitigation_name,mitigation_description,control_ids,control_names,reasonings,course_of_action
T1566,Phishing,M1017,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.","['24', '25']","['Security Awareness Training', 'System Administrator Training']","['Security training for administrators and end-users of a system, including awareness training, ensures that users are aware of potential threats and how to respond to them.', 'Privileged users are provided with training on how to manage systems correctly, which includes being aware of access or manipulation attempts by adversaries.']",course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a
T1566,Phishing,M1032,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,"['20', '21']","['Multi-Factor Authentication for standard user access', 'Multi-Factor Authentication for Privileged access']","['An MFA prompt is required/enforced based on the data classification and device trust level.', 'Access is limited to IAG devices (not based on IP address), and an MFA prompt is required every time an administrator logs on.']",course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0
T1566,Phishing,M1031,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,"['13', '46']","['Endpoint Intrusion Detection', 'Device Isolation and Compliance Checks']","[""Endpoint Intrusion Detection: This control ensures that end user devices and/or servers are protected with host based Intrusion Detection System/Intrusion Protection System (IDS/IPS), which aligns with the mitigation's goal of blocking traffic at network boundaries."", 'Device Isolation and Compliance Checks: This control detects device compliance against corporate standards and does not allow LAN access unless compliance checks pass, which helps in preventing unauthorized network traffic.']",course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c
T1566,Phishing,M1043,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,"['14', '19']","['Secure Authentication', 'Privileged Access Management']","['Secure Authentication ensures that authentication is protected both in transit and at rest, reducing the risk of credential access by adversaries.', 'Privileged Access Management manages and controls elevated privileges and access, which includes preventing unauthorized access to credentials.']",course-of-action--49c06d54-9002-491d-9147-8efb537fbd26
T1190,Exploitation of Public-Facing Application,M1048,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.,['43'],['Data/Application Sandboxing/Containerisation'],"['This control ensures that IAG data is contained within an application, enabling the use of IAG data from an unmanaged device, which aligns with the concept of restricting code execution to a virtual environment.']",course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463
T1190,Exploitation of Public-Facing Application,M1030,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.","['29', '30']","['Network Segmentation', 'Management network/zone']","[""Network Segmentation involves filtering network traffic and isolating critical systems, which aligns with the mitigation's goal."", 'Management network/zone ensures that access to management interfaces is limited, supporting the isolation of critical systems.']",course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c
T1190,Exploitation of Public-Facing Application,M1050,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,"['11', '13']","['Endpoint anti-malware', 'Endpoint Intrusion Detection']","[{'11': 'Endpoint anti-malware tools use advanced machine learning to detect and block malware, which can prevent software exploits.'}, {'13': 'Endpoint Intrusion Detection Systems (IDS/IPS) monitor and protect against suspicious activities that may indicate an exploit attempt.'}]",course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3
T1190,Exploitation of Public-Facing Application,M1036,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.","['15', '18', '20', '21']","['Password Policy', 'Account Management', 'Multi-Factor Authentication for standard user access', 'Multi-Factor Authentication for Privileged access']","['Password Policy ensures that account passwords meet complexity and expiration requirements, reducing the risk of account compromise.', 'Account Management involves the approval, onboarding, offboarding, and periodic validation of user access, ensuring that account use policies are enforced.', 'Multi-Factor Authentication for standard user access adds an additional layer of security for account logins, reducing the risk of unauthorized access.', 'Multi-Factor Authentication for Privileged access ensures that privileged accounts are protected with additional authentication measures, reducing the risk of misuse.']",course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c
T1195,Supply Chain Compromise,M1040,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","['11', '13', '56']","['Endpoint anti-malware', 'Endpoint Intrusion Detection', 'File Integrity Monitoring (FIM) / File Access Monitoring (FAM)']","['Endpoint anti-malware helps in preventing malicious behavior on endpoints.', 'Endpoint Intrusion Detection helps in detecting and preventing suspicious activities on endpoints.', 'File Integrity Monitoring (FIM) / File Access Monitoring (FAM) helps in detecting unauthorized changes to files, which can indicate suspicious behavior.']",course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46
T1195,Supply Chain Compromise,M1045,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,"['2', '4']","['Application Hardening', 'Software Development Lifecycle (SDLC)/Pipeline']","['Application Hardening ensures that applications are hardened in line with appropriate standards, which includes enforcing integrity checks such as code signing.', 'Software Development Lifecycle (SDLC)/Pipeline ensures secure coding practices, which includes implementing code signing to verify the integrity of the code.']",course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312
T1195,Supply Chain Compromise,M1044,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,"['2', '47']","['Application Hardening', 'Device or Application Restrictions']","['Application Hardening ensures that applications are configured securely, reducing the risk of loading untrusted code.', 'Device or Application Restrictions allow administrators to set policies around what features of a device or app are enabled or disabled, preventing the loading of untrusted libraries.']",course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff
T1557,Man-in-the-Middle,M1021,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","['39', '40']","['Web filtering', 'Email filtering']","['Web filtering can monitor and manage the locations where users are browsing on the Internet, enabling an organization to either allow or block web traffic in order to protect against potential threats and enforce corporate policy.', ""Email filtering can filter outbound and inbound email to detect and block SPAM, phishing, executable content, malicious scripts or software, which aligns with the mitigation's goal of restricting web-based content.""]",course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96
T1557,Man-in-the-Middle,M1031,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,"['13', '46']","['Endpoint Intrusion Detection', 'Device Isolation and Compliance Checks']","[""Endpoint Intrusion Detection: This control ensures that end user devices and/or servers are protected with host based Intrusion Detection System/Intrusion Protection System (IDS/IPS), which aligns with the mitigation's goal of blocking traffic at network boundaries."", 'Device Isolation and Compliance Checks: This control detects device compliance against corporate standards and does not allow LAN access unless compliance checks pass, which helps in preventing unauthorized network traffic.']",course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c
T1557,Man-in-the-Middle,M1056,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques.","['1', '2', '4', '5', '6', '7', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58']","['Formalise build configurations', 'Application Hardening', 'Software Development Lifecycle (SDLC)/Pipeline', 'Security Assurance', 'Threat assessment', 'Security requirements', 'Vulnerability Scanning', 'Patch Management', 'Endpoint anti-malware', 'Endpoint firewall', 'Endpoint Intrusion Detection', 'Secure Authentication', 'Password Policy', 'Least Privilege and Role Based Access Control', 'Separation of Duties', 'Account Management', 'Privileged Access Management', 'Multi-Factor Authentication for standard user access', 'Multi-Factor Authentication for Privileged access', 'Logging of Security Events', 'Security Incident Management', 'Security Awareness Training', 'System Administrator Training', 'System Backup and Recovery', 'Disaster Recovery Plan', 'Separation of Non-production Environments', 'Network Segmentation', 'Management network/zone', 'Data Loss Prevention', 'Penetration Testing', 'Change Management', 'Personnel screening', 'Supply chain protection', 'High Availability/Resiliency', 'Encryption of data in transit', 'Encryption of data at rest', 'Web filtering', 'Email filtering', 'End-user device management', 'Limit access to IAG managed devices', 'Data/Application Sandboxing/Containerisation', 'Documentation', 'Vendor Management', 'Device Isolation and Compliance Checks', 'Device or Application Restrictions', 'Denial of Service (DoS) Protection', 'Web Application Firewall (WAF)', 'Operational Monitoring', 'Data Governance', 'Secret Management', 'Session Management', 'Data removal and hardware disposal', 'Chain Of Custody', 'File Integrity Monitoring (FIM) / File Access Monitoring (FAM)', 'Data Masking', 'Just in Time Access']","['These controls collectively ensure that systems are hardened, vulnerabilities are managed, and security requirements are documented and implemented before adversaries can gain initial access.']",course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc
T1074,Insider Threat,M1018,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.","['18', '16', '19']","['Account Management', 'Least Privilege and Role Based Access Control', 'Privileged Access Management']","['Account Management involves managing user accounts, including their creation, modification, and periodic validation.', 'Least Privilege and Role Based Access Control ensures that user accounts have only the permissions required to perform their roles.', 'Privileged Access Management involves managing and controlling elevated privileges and access for users.']",course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317
